cellI,inCellI,cellCenter,surfNorm,surfNormIn,bodyOut,bodyIn,yOrtho,sigma,order,intPoints,intCells
5514,4737,(0.09814028314 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.09814028314 0.01 0.00065) (0.09814028314 0.01155827869 0.00065) (0.09814028314 0.01285483607 0.00065)),2(6291 7068)
5515,4738,(0.09944015444 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482979,1,0.0004464759905,0.0002281250001,2,3((0.09944015444 0.01 0.00065) (0.09944015444 0.01155827869 0.00065) (0.09944015444 0.01285483607 0.00065)),2(6292 7069)
5516,4739,(0.1007400257 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1007400257 0.01 0.00065) (0.1007400257 0.01155827869 0.00065) (0.1007400257 0.01285483606 0.00065)),2(6293 7070)
5517,4740,(0.1020398971 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1020398971 0.01 0.00065) (0.1020398971 0.01155827869 0.00065) (0.1020398971 0.01285483607 0.00065)),2(6294 7071)
5518,4741,(0.1033397683 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1033397683 0.01 0.00065) (0.1033397683 0.01155827869 0.00065) (0.1033397683 0.01285483606 0.00065)),2(6295 7072)
5519,4742,(0.1046396396 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1046396396 0.01 0.00065) (0.1046396396 0.01155827869 0.00065) (0.1046396396 0.01285483607 0.00065)),2(6296 7073)
5520,4743,(0.1059395109 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1059395109 0.01 0.00065) (0.1059395109 0.01155827869 0.00065) (0.1059395109 0.01285483606 0.00065)),2(6297 7074)
5521,4744,(0.1072393823 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1072393823 0.01 0.00065) (0.1072393823 0.01155827869 0.00065) (0.1072393823 0.01285483606 0.00065)),2(6298 7075)
5522,4745,(0.1085392535 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1085392535 0.01 0.00065) (0.1085392535 0.01155827869 0.00065) (0.1085392535 0.01285483607 0.00065)),2(6299 7076)
5523,4746,(0.1098391248 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1098391248 0.01 0.00065) (0.1098391248 0.01155827869 0.00065) (0.1098391248 0.01285483606 0.00065)),2(6300 7077)
5524,4747,(0.1111389961 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1111389961 0.01 0.00065) (0.1111389961 0.01155827869 0.00065) (0.1111389961 0.01285483606 0.00065)),2(6301 7078)
5525,4748,(0.1124388675 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1124388675 0.01 0.00065) (0.1124388675 0.01155827869 0.00065) (0.1124388675 0.01285483606 0.00065)),2(6302 7079)
5526,4749,(0.1137387387 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1137387387 0.01 0.00065) (0.1137387387 0.01155827869 0.00065) (0.1137387387 0.01285483606 0.00065)),2(6303 7080)
5527,4750,(0.11503861 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.11503861 0.01 0.00065) (0.11503861 0.01155827869 0.00065) (0.11503861 0.01285483606 0.00065)),2(6304 7081)
5528,4751,(0.1163384814 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1163384814 0.01 0.00065) (0.1163384814 0.01155827869 0.00065) (0.1163384814 0.01285483606 0.00065)),2(6305 7082)
5529,4752,(0.1176383526 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1176383526 0.01 0.00065) (0.1176383526 0.01155827869 0.00065) (0.1176383526 0.01285483606 0.00065)),2(6306 7083)
5530,4753,(0.118938224 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.118938224 0.01 0.00065) (0.118938224 0.01155827869 0.00065) (0.118938224 0.01285483606 0.00065)),2(6307 7084)
5531,4754,(0.1202380952 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1202380952 0.01 0.00065) (0.1202380952 0.01155827869 0.00065) (0.1202380952 0.01285483606 0.00065)),2(6308 7085)
5532,4755,(0.1215379666 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1215379666 0.01 0.00065) (0.1215379666 0.01155827869 0.00065) (0.1215379666 0.01285483606 0.00065)),2(6309 7086)
5533,4756,(0.1228378378 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.1228378378 0.01 0.00065) (0.1228378378 0.01155827869 0.00065) (0.1228378378 0.01285483606 0.00065)),2(6310 7087)
